PREDICTED_COLOR_2_HOURS,ACTUAL_COLOR,PROBABILITY_COLOR_2_HOURS
Orange/Red,Orange/Red,0.92
Orange/Red,Green/Yellow,0.556
Orange/Red,Green/Yellow,0.832
Green/Yellow,Green/Yellow,0.47
Orange/Red,Green/Yellow,0.95
Orange/Red,Green/Yellow,0.612
Green/Yellow,Green/Yellow,0.208
Green/Yellow,Green/Yellow,0.358
Green/Yellow,Green/Yellow,0.192
Green/Yellow,Green/Yellow,0.402
Green/Yellow,Green/Yellow,0.072
Orange/Red,Green/Yellow,0.78
Green/Yellow,Green/Yellow,0.324
Orange/Red,Green/Yellow,0.662
Green/Yellow,Green/Yellow,0.132
Green/Yellow,Green/Yellow,0.022
Green/Yellow,Green/Yellow,0.022
Orange/Red,Green/Yellow,0.764
Green/Yellow,Green/Yellow,0.014
Green/Yellow,Green/Yellow,0.012
Orange/Red,Green/Yellow,0.624
Green/Yellow,Green/Yellow,0.272
Orange/Red,Green/Yellow,0.56
Green/Yellow,Green/Yellow,0.062
Green/Yellow,Green/Yellow,0.078
Green/Yellow,Green/Yellow,0.02
Green/Yellow,Green/Yellow,0.444
Green/Yellow,Green/Yellow,0.044
Orange/Red,Green/Yellow,0.598
Green/Yellow,Green/Yellow,0.326
Green/Yellow,Green/Yellow,0.02
Orange/Red,Orange/Red,0.936
Orange/Red,Green/Yellow,0.542
Green/Yellow,Green/Yellow,0.254
Green/Yellow,Green/Yellow,0.006
Green/Yellow,Green/Yellow,0.26
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.314
Green/Yellow,Green/Yellow,0.204
Orange/Red,Green/Yellow,0.602
Green/Yellow,Green/Yellow,0.208
Green/Yellow,Green/Yellow,0.326
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.154
Green/Yellow,Green/Yellow,0.248
Green/Yellow,Green/Yellow,0.402
Orange/Red,Green/Yellow,0.842
Green/Yellow,Green/Yellow,0.166
Green/Yellow,Green/Yellow,0.004
Green/Yellow,Green/Yellow,0.006
Green/Yellow,Green/Yellow,0
Orange/Red,Green/Yellow,0.604
Orange/Red,Green/Yellow,0.83
Green/Yellow,Green/Yellow,0.268
Orange/Red,Green/Yellow,0.748
Green/Yellow,Green/Yellow,0.09
Orange/Red,Green/Yellow,0.612
Green/Yellow,Green/Yellow,0.472
Green/Yellow,Green/Yellow,0.41
Green/Yellow,Green/Yellow,0.026
Orange/Red,Green/Yellow,0.604
Green/Yellow,Green/Yellow,0.062
Orange/Red,Green/Yellow,0.638
Orange/Red,Orange/Red,0.914
Orange/Red,Green/Yellow,0.808
Green/Yellow,Green/Yellow,0.008
Green/Yellow,Green/Yellow,0.012
Green/Yellow,Green/Yellow,0.028
Green/Yellow,Green/Yellow,0.486
Green/Yellow,Green/Yellow,0.096
Orange/Red,Orange/Red,0.706
Green/Yellow,Green/Yellow,0.16
Green/Yellow,Green/Yellow,0.052
Green/Yellow,Green/Yellow,0.226
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.134
Green/Yellow,Green/Yellow,0.09
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.252
Green/Yellow,Green/Yellow,0.014
Orange/Red,Orange/Red,0.908
Green/Yellow,Green/Yellow,0.358
Green/Yellow,Green/Yellow,0.022
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.316
Green/Yellow,Green/Yellow,0.044
Green/Yellow,Green/Yellow,0.458
Green/Yellow,Green/Yellow,0.294
Green/Yellow,Green/Yellow,0.074
Green/Yellow,Green/Yellow,0.022
Green/Yellow,Green/Yellow,0.46
Green/Yellow,Green/Yellow,0.036
Green/Yellow,Green/Yellow,0.052
Green/Yellow,Green/Yellow,0.356
Orange/Red,Orange/Red,0.632
Orange/Red,Green/Yellow,0.786
Green/Yellow,Green/Yellow,0.024
Orange/Red,Orange/Red,0.73
Orange/Red,Green/Yellow,0.646
Orange/Red,Green/Yellow,0.796
Orange/Red,Green/Yellow,0.514
Green/Yellow,Green/Yellow,0.318
Orange/Red,Green/Yellow,0.702
Green/Yellow,Green/Yellow,0.024
Green/Yellow,Green/Yellow,0.046
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.014
Orange/Red,Green/Yellow,0.95
Green/Yellow,Green/Yellow,0.236
Green/Yellow,Green/Yellow,0.096
Green/Yellow,Green/Yellow,0.036
Green/Yellow,Green/Yellow,0.024
Green/Yellow,Green/Yellow,0.038
Green/Yellow,Green/Yellow,0.074
Green/Yellow,Green/Yellow,0.028
Green/Yellow,Green/Yellow,0.022
Green/Yellow,Green/Yellow,0.39
Orange/Red,Green/Yellow,0.818
Orange/Red,Green/Yellow,0.848
